                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                   1.11,                 1.3227,                 1.1692,                0.59828,                0.44637,                  0.482,                0.33838,                 1.1632,                  1.292,                 1.1894,               0.001387,               0.001387,               0.001387
                     89,                 1.1054,                 1.3162,                 1.1667,                0.60131,                0.44418,                0.48253,                0.33903,                  1.163,                  1.292,                 1.1891,               0.001288,               0.001288,               0.001288
                     90,                 1.1035,                 1.3146,                 1.1669,                0.60374,                0.44332,                0.48281,                0.33933,                 1.1629,                 1.2921,                 1.1889,               0.001189,               0.001189,               0.001189
                     91,                 1.1325,                 1.2477,                  1.188,                0.60482,                0.44282,                0.48291,                0.33928,                 1.1623,                 1.2918,                 1.1884,                0.00109,                0.00109,                0.00109
                     92,                 1.1253,                 1.2252,                 1.1826,                0.60206,                0.44544,                0.48329,                0.33966,                  1.162,                 1.2918,                 1.1881,               0.000991,               0.000991,               0.000991
                     93,                 1.1193,                 1.2123,                 1.1797,                0.60332,                0.44509,                 0.4837,                 0.3399,                 1.1615,                 1.2914,                 1.1877,               0.000892,               0.000892,               0.000892
                     94,                 1.1138,                 1.2014,                 1.1766,                0.60106,                0.44756,                0.48402,                0.34037,                 1.1612,                 1.2918,                 1.1874,               0.000793,               0.000793,               0.000793
                     95,                 1.1101,                 1.1943,                 1.1729,                0.60291,                0.44738,                0.48411,                0.34026,                 1.1609,                 1.2919,                 1.1872,               0.000694,               0.000694,               0.000694
                     96,                 1.1074,                 1.1809,                 1.1707,                0.60519,                0.44744,                0.48457,                0.34081,                 1.1606,                 1.2916,                 1.1868,               0.000595,               0.000595,               0.000595
                     97,                  1.105,                 1.1757,                 1.1671,                0.60624,                0.44726,                0.48466,                0.34124,                 1.1603,                 1.2914,                 1.1864,               0.000496,               0.000496,               0.000496
                     98,                 1.0994,                  1.163,                 1.1659,                0.60613,                0.44783,                0.48466,                0.34122,                 1.1599,                 1.2914,                 1.1863,               0.000397,               0.000397,               0.000397
                     99,                 1.0959,                 1.1553,                 1.1642,                0.61214,                0.44704,                0.48484,                0.34152,                   1.16,                 1.2919,                 1.1863,               0.000298,               0.000298,               0.000298
                    100,                  1.095,                 1.1505,                  1.162,                0.61342,                0.44666,                0.48513,                0.34175,                 1.1602,                 1.2917,                 1.1863,               0.000199,               0.000199,               0.000199
