                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.1896,                 1.5439,                 1.2235,                0.60155,                0.45194,                0.48528,                0.34028,                 1.1533,                 1.2867,                 1.1857,               0.004753,               0.004753,               0.004753
                     55,                 1.1866,                 1.5374,                 1.2218,                0.60143,                 0.4523,                0.48567,                 0.3411,                  1.153,                 1.2858,                 1.1854,               0.004654,               0.004654,               0.004654
                     56,                 1.1857,                 1.5366,                 1.2208,                0.60648,                0.44958,                0.48631,                0.34145,                 1.1529,                 1.2845,                 1.1854,               0.004555,               0.004555,               0.004555
                     57,                  1.186,                 1.5321,                 1.2205,                0.60979,                0.44855,                 0.4867,                0.34198,                 1.1522,                 1.2835,                 1.1848,               0.004456,               0.004456,               0.004456
                     58,                 1.1838,                 1.5276,                 1.2195,                0.60839,                0.45013,                0.48717,                0.34233,                 1.1516,                 1.2812,                 1.1844,               0.004357,               0.004357,               0.004357
                     59,                 1.1832,                 1.5279,                 1.2176,                0.60606,                0.45069,                0.48732,                0.34263,                 1.1506,                 1.2799,                 1.1837,               0.004258,               0.004258,               0.004258
                     60,                 1.1809,                 1.5257,                 1.2179,                0.60804,                0.44952,                0.48771,                0.34269,                 1.1504,                 1.2783,                  1.183,               0.004159,               0.004159,               0.004159
                     61,                 1.1778,                 1.5185,                 1.2161,                0.61222,                 0.4478,                0.48818,                 0.3433,                 1.1501,                 1.2766,                 1.1828,                0.00406,                0.00406,                0.00406
                     62,                 1.1769,                 1.5157,                 1.2141,                0.61734,                0.44694,                0.48902,                0.34382,                  1.149,                 1.2751,                 1.1819,               0.003961,               0.003961,               0.003961
                     63,                 1.1742,                 1.5091,                 1.2138,                0.62095,                 0.4426,                0.48934,                0.34367,                 1.1481,                 1.2745,                 1.1811,               0.003862,               0.003862,               0.003862
                     64,                 1.1751,                 1.5043,                 1.2128,                0.61682,                 0.4455,                0.48971,                0.34421,                 1.1481,                 1.2735,                 1.1807,               0.003763,               0.003763,               0.003763
                     65,                 1.1732,                 1.5034,                 1.2107,                0.61656,                0.44665,                0.49009,                0.34488,                 1.1483,                 1.2728,                 1.1808,               0.003664,               0.003664,               0.003664
                     66,                 1.1699,                 1.4969,                 1.2095,                0.61899,                0.44541,                0.49046,                0.34515,                 1.1471,                 1.2724,                 1.1796,               0.003565,               0.003565,               0.003565
                     67,                 1.1684,                 1.4964,                 1.2091,                0.62541,                0.44404,                0.49147,                0.34568,                 1.1451,                 1.2708,                 1.1782,               0.003466,               0.003466,               0.003466
                     68,                 1.1674,                 1.4903,                 1.2078,                0.63253,                0.44158,                0.49197,                0.34629,                 1.1442,                 1.2689,                 1.1775,               0.003367,               0.003367,               0.003367
                     69,                 1.1658,                 1.4834,                  1.206,                0.62617,                0.44407,                0.49271,                0.34667,                 1.1438,                 1.2675,                 1.1769,               0.003268,               0.003268,               0.003268
                     70,                 1.1628,                 1.4836,                 1.2059,                 0.6218,                0.44619,                0.49309,                0.34707,                 1.1438,                 1.2665,                 1.1764,               0.003169,               0.003169,               0.003169
                     71,                 1.1617,                 1.4806,                 1.2048,                0.61926,                0.44754,                0.49343,                0.34725,                 1.1438,                 1.2654,                 1.1762,                0.00307,                0.00307,                0.00307
                     72,                 1.1607,                 1.4753,                 1.2042,                0.61341,                0.44983,                0.49379,                 0.3478,                 1.1431,                 1.2639,                 1.1755,               0.002971,               0.002971,               0.002971
                     73,                 1.1589,                 1.4668,                 1.2019,                0.61595,                 0.4504,                0.49463,                0.34854,                 1.1423,                 1.2631,                 1.1747,               0.002872,               0.002872,               0.002872
                     74,                 1.1565,                 1.4647,                  1.201,                0.61533,                0.44961,                0.49511,                0.34898,                 1.1415,                  1.262,                  1.174,               0.002773,               0.002773,               0.002773
                     75,                 1.1555,                 1.4593,                 1.2003,                0.60736,                0.45404,                0.49566,                0.34941,                 1.1407,                 1.2609,                 1.1736,               0.002674,               0.002674,               0.002674
                     76,                 1.1525,                 1.4534,                 1.1981,                 0.6044,                0.45436,                 0.4957,                 0.3496,                 1.1398,                 1.2597,                 1.1725,               0.002575,               0.002575,               0.002575
                     77,                 1.1515,                 1.4498,                 1.1971,                0.61251,                0.45382,                 0.4963,                0.34993,                 1.1392,                 1.2579,                 1.1721,               0.002476,               0.002476,               0.002476
                     78,                 1.1475,                 1.4432,                 1.1951,                  0.609,                0.45505,                0.49633,                0.35019,                 1.1385,                 1.2567,                 1.1712,               0.002377,               0.002377,               0.002377
                     79,                 1.1463,                 1.4413,                 1.1947,                0.60301,                0.45956,                0.49688,                0.35058,                 1.1378,                 1.2556,                 1.1704,               0.002278,               0.002278,               0.002278
                     80,                 1.1449,                 1.4358,                 1.1927,                0.60345,                0.46024,                0.49802,                0.35116,                 1.1374,                 1.2546,                   1.17,               0.002179,               0.002179,               0.002179
                     81,                 1.1412,                 1.4295,                 1.1905,                0.60233,                0.46169,                0.49879,                0.35154,                 1.1374,                 1.2532,                   1.17,                0.00208,                0.00208,                0.00208
                     82,                 1.1404,                 1.4264,                 1.1901,                0.60125,                0.46355,                0.49942,                0.35252,                 1.1371,                 1.2512,                 1.1696,               0.001981,               0.001981,               0.001981
                     83,                  1.137,                 1.4169,                 1.1878,                0.59773,                0.46592,                0.49994,                0.35293,                 1.1361,                 1.2497,                 1.1688,               0.001882,               0.001882,               0.001882
                     84,                 1.1353,                 1.4105,                 1.1862,                0.60353,                0.46417,                0.50105,                0.35394,                 1.1355,                 1.2482,                 1.1682,               0.001783,               0.001783,               0.001783
                     85,                 1.1338,                 1.4081,                  1.185,                0.60451,                0.46296,                0.50143,                0.35439,                 1.1345,                 1.2466,                 1.1672,               0.001684,               0.001684,               0.001684
                     86,                 1.1304,                 1.4008,                 1.1835,                0.60507,                0.46332,                0.50223,                0.35501,                 1.1334,                 1.2454,                 1.1662,               0.001585,               0.001585,               0.001585
                     87,                 1.1279,                 1.3934,                 1.1813,                0.60437,                0.46439,                0.50256,                0.35548,                 1.1326,                 1.2435,                 1.1654,               0.001486,               0.001486,               0.001486
                     88,                 1.1239,                 1.3885,                 1.1801,                0.61384,                 0.4618,                0.50317,                0.35582,                 1.1319,                 1.2424,                 1.1647,               0.001387,               0.001387,               0.001387
                     89,                 1.1235,                 1.3822,                  1.179,                0.61217,                0.46524,                0.50377,                0.35618,                  1.131,                 1.2413,                  1.164,               0.001288,               0.001288,               0.001288
                     90,                 1.1215,                 1.3758,                 1.1772,                0.61848,                0.46191,                0.50449,                0.35678,                 1.1307,                 1.2402,                 1.1635,               0.001189,               0.001189,               0.001189
                     91,                 1.1527,                 1.3179,                 1.2012,                0.61964,                0.46141,                0.50542,                0.35796,                  1.129,                  1.239,                 1.1623,                0.00109,                0.00109,                0.00109
                     92,                 1.1475,                 1.2974,                 1.1969,                0.61831,                 0.4629,                0.50641,                0.35883,                 1.1286,                 1.2376,                  1.162,               0.000991,               0.000991,               0.000991
                     93,                 1.1407,                 1.2828,                 1.1934,                0.61935,                0.46444,                0.50769,                0.35964,                 1.1269,                 1.2357,                 1.1606,               0.000892,               0.000892,               0.000892
                     94,                 1.1358,                 1.2725,                  1.189,                0.61515,                0.46797,                0.50855,                0.36056,                 1.1265,                 1.2347,                 1.1601,               0.000793,               0.000793,               0.000793
                     95,                 1.1315,                 1.2629,                 1.1862,                0.61604,                0.46949,                 0.5097,                0.36152,                 1.1261,                 1.2331,                 1.1595,               0.000694,               0.000694,               0.000694
                     96,                 1.1273,                 1.2501,                 1.1829,                0.62162,                  0.469,                0.51054,                0.36208,                  1.125,                 1.2318,                 1.1585,               0.000595,               0.000595,               0.000595
                     97,                 1.1223,                 1.2392,                 1.1804,                0.62289,                0.46883,                0.51088,                0.36259,                 1.1249,                 1.2313,                 1.1581,               0.000496,               0.000496,               0.000496
                     98,                 1.1172,                 1.2303,                 1.1769,                0.62391,                 0.4689,                0.51142,                0.36252,                 1.1248,                 1.2302,                 1.1579,               0.000397,               0.000397,               0.000397
                     99,                 1.1118,                 1.2188,                 1.1734,                0.62565,                0.46936,                0.51188,                0.36305,                 1.1252,                 1.2294,                 1.1578,               0.000298,               0.000298,               0.000298
                    100,                  1.109,                 1.2084,                 1.1704,                0.62875,                0.46835,                0.51213,                0.36341,                 1.1249,                 1.2289,                 1.1574,               0.000199,               0.000199,               0.000199
